,season,episode_number,cumulative_episode_number,title,air_date,rating_value,votes,description
92,8,10,93,Reynolds vs. Reynolds: The Cereal Defense,2012-12-20,9.0,3200,"When Frank accidentally hits Dennis's car while Dennis is eating cereal, Frank and Dennis go to the Paddy's Pub court to face off on who will pay for the damages."
93,9,1,94,The Gang Broke Dee,2013-09-04,8.8,3300,"Dee embraces the desperate, self-loathing qualities the guys have beaten her into over the years, sending her stand-up comedy to unexpected places."
94,9,2,95,Gun Fever Too: Still Hot,2013-09-11,8.2,2600,"After Frank appears on TV advocating gun ownership, the rest of the gang takes a look at the ownership process and alternatives to find common ground."
95,9,3,96,The Gang Tries Desperately to Win an Award,2013-09-18,9.2,4200,The gang attempts to win the award for Philidelphia's Best Bar.
96,9,4,97,Mac and Dennis Buy a Timeshare,2013-09-25,8.0,2500,"After making some very questionable investment choices, the gang try to dump their losses on Ben The Soldier while they look for the man who is pulling their strings."
97,9,5,98,Mac Day,2013-10-02,8.6,2900,Each member of the gang gets one day to do whatever they want while the rest of the gang must participate. This is Mac's day.
98,9,6,99,The Gang Saves the Day,2013-10-09,9.0,3600,"When the gang find themselves in the middle of a robbery at a local convenience store, they all imagine what will happen next."
99,9,7,100,The Gang Gets Quarantined,2013-10-16,8.7,3000,When a severe flu outbreak sweeps Philadelphia the gang voluntarily quarantine themselves inside of Paddy's.
100,9,8,101,Flowers for Charlie,2013-10-23,8.8,3200,"When an experiment successfully multiplies Charlie's intellect and takes him away from the bar, the rest of the gang find themselves struggling to complete the menial 'Charlie Work' that has kept the bar running for so long."
101,9,9,102,The Gang Makes Lethal Weapon 6,2013-10-30,8.0,2400,"After creative differences over what constitutes tasteful nudity cause Frank to pull his money out of Lethal Weapon 6 during filming, Mac, Dennis, and Charlie screen their rough footage for investors in hopes of raising enough capital to finish the production of their latest masterpiece."
102,9,10,103,The Gang Squashes Their Beefs,2013-11-06,8.2,2500,"When some bad blood with old foes compromises their ideal Thanksgiving, the gang decides to make amends by breaking bread with those they've hurt."
103,10,1,104,The Gang Beats Boggs,2015-01-14,8.7,3300,The gang try to beat a record set by Wade Boggs of 70 beers on a cross-country flight.
104,10,2,105,The Gang Group Dates,2015-01-21,8.7,2900,The gang decides to start a group dating service at Paddy's.
105,10,3,106,Psycho Pete Returns,2015-01-28,7.5,2500,"Mac and Charlie are excited for the return of their old high school friend, Pete, while the rest of the gang fears for his psychotic behavior."
106,10,4,107,Charlie Work,2015-02-04,9.8,10000,Charlie is determined to make sure Paddy's Pub passes its health inspection.
107,10,5,108,The Gang Spies Like U.S.,2015-02-11,8.2,2500,"When Dennis and Mac send Dee to spy on the fish factory across the street, Frank and Charlie become suspicious themselves."
